district,name,match,min_dist,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,match20,match21,match22,match23,match24,match25,match26,match27,match28,match29,match30,match31,match32,match33,match34,match35,match36,match37,match38,match39,match40,match41,match42,match43,match44,match45
MDG11102,ankadikely/ilafy,ankadikely/ilafy,0,ankadikely/ilafy,ankadinandriana,anjeva/gara,ambohimalaza/miray,manandriana,masindray,alasora,ambohimanambola,fiaferana,viliahazo,ambohimangakely,ambohimanga/rova,talata/volonondry,sabotsy/namehana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11102,ambohimangakely,ambohimangakely,0,ambohimangakely,ambohimanambola,ambohimanga/rova,ambohimalaza/miray,anjeva/gara,masindray,ankadinandriana,fiaferana,viliahazo,sabotsy/namehana,manandriana,alasora,ankadikely/ilafy,talata/volonondry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11102,ilafy,ankadikely/ilafy,0,ankadikely/ilafy,ambohimalaza/miray,fiaferana,alasora,ambohimanambola,ambohimanga/rova,viliahazo,ambohimangakely,manandriana,talata/volonondry,masindray,ankadinandriana,sabotsy/namehana,anjeva/gara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11102,ambohibao,,2,ambohimalaza/miray,ambohimanambola,ambohimanga/rova,ambohimangakely,sabotsy/namehana,alasora,viliahazo,manandriana,talata/volonondry,ankadinandriana,ankadikely/ilafy,fiaferana,anjeva/gara,masindray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11102,am/tsy,,2,sabotsy/namehana,alasora,ankadikely/ilafy,ambohimalaza/miray,ambohimanambola,ambohimanga/rova,ambohimangakely,talata/volonondry,anjeva/gara,masindray,fiaferana,viliahazo,manandriana,ankadinandriana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11102,antananarivo,,6,manandriana,talata/volonondry,ankadinandriana,ambohimanga/rova,ankadikely/ilafy,ambohimalaza/miray,ambohimanambola,fiaferana,sabotsy/namehana,anjeva/gara,alasora,viliahazo,ambohimangakely,masindray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11102,ankaraobato,,6,ambohimanambola,ambohimanga/rova,ankadinandriana,alasora,ankadikely/ilafy,fiaferana,manandriana,talata/volonondry,anjeva/gara,ambohimalaza/miray,viliahazo,sabotsy/namehana,ambohimangakely,masindray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11103,ambohidratrimo,ambohidratrimo,0,ambohidratrimo,ambohimanjaka,ambohipihaonana,ambohitrimanjaka,ambato,iarinarivo,antsahafilo,anosiala,antehiroka,ambatolampy,mahitsy,merimandroso,mahabo,anjanadoria,avaratsena,mananjara,manjakavaradrano,ampangabe,mahereza,antanetibe,talatamaty,ivato/firaisana,ampanotokana,fiadanana,ivato/aeroport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11103,mahitsy,mahitsy,0,mahitsy,mahabo,mahereza,ambato,mananjara,anosiala,talatamaty,ampangabe,avaratsena,iarinarivo,antehiroka,ambatolampy,fiadanana,antanetibe,antsahafilo,merimandroso,ampanotokana,ambohidratrimo,ambohimanjaka,anjanadoria,ambohipihaonana,ivato/firaisana,ambohitrimanjaka,ivato/aeroport,manjakavaradrano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11103,a/trimo,tolohomiady,1,ambohidratrimo,iarinarivo,ambohitrimanjaka,manjakavaradrano,antsahafilo,talatamaty,antehiroka,ivato/firaisana,ivato/aeroport,ambatolampy,merimandroso,anjanadoria,ambato,mananjara,ambohipihaonana,anosiala,ampangabe,mahitsy,ampanotokana,ambohimanjaka,mahabo,mahereza,antanetibe,avaratsena,fiadanana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
