"names_tomatch","nest","fixed_best","min_fixed","partial_best","min_partial","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"vatomandry","MG31307","vatomandry",0,"vatomandry",0,"vatomandry","maintinandry","iamborano","ambalabe","tsarasambo","sahamatevina","ambalavolo","niherenana","ilaka est","tsivangiana","ampasimazava","ifasina i","ifasina ii","amboditavolo","ampasimadinika","ambodivoananto","niarovana caroline","antanambao mahatsara","tanambao vahatrakaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amboditavolo","MG31307","amboditavolo",0,"amboditavolo",0,"amboditavolo","ambalavolo","ambodivoananto","iamborano","ampasimazava","ambalabe","maintinandry","vatomandry","tsarasambo","sahamatevina","ampasimadinika","ifasina i","ifasina ii","niherenana","ilaka est","tsivangiana","tanambao vahatrakaka","niarovana caroline","antanambao mahatsara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mahanoro","MG31308","mahanoro",0,"mahanoro",0,"mahanoro","masomeloka","tsaravinany","befotaka","ambodiharina","manjakandriana","ambodibonara","ambinanindrano","betsizaraina","ambinanidilana","ankazotsifantatra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amboasary","MG31309","amboasary",0,"amboasary",0,"amboasary","ambodivoangy","marolambo","betampona","ambohimilanja","lohavanana","ambodinonoka","sahakevo","andonabe sud","ambalapaiso ii","ambatofisaka ii","anosiarivo i","androrangavola","tanambao rabemanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"toamasina suburbaine","MG31310","toamasina suburbaine",0,"toamasina suburbaine",0,"toamasina suburbaine","ampasimbe onibe","fanandrana","ampisokina","ambodiriana","mahavelona (foulpointe)","ambodilazana","mangabe","antetezambaro","amboditandroroho","sahambala","antenina","andondabe","andranobolaha","ampasimadinika manambolo","amporoforo","fito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andrebakely sud","MG33312","andrebakely sud",0,"andrebakely sud",0,"andrebakely sud","andrebakely nord","ampasikely","andilana nord","ambatomainty","anororo","ranomainty","tanambe","amboavory","amparafaravola","bedidy","ambohimandroso","sahamamy","beanana","ambodimanga","ambohitrarivo","morarano chrome","ambohijanahary","vohitsara","vohimena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amparafaravola","MG33312","amparafaravola",0,"amparafaravola",0,"amparafaravola","ampasikely","ambohitrarivo","amboavory","ambohimandroso","ambatomainty","anororo","ambohijanahary","andilana nord","ambodimanga","sahamamy","morarano chrome","ranomainty","beanana","vohitsara","tanambe","andrebakely sud","vohimena","andrebakely nord","bedidy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bejofo","MG33313","bejofo",0,"bejofo",0,"bejofo","ilafy","didy","andromba","ambandrika","ampitatsimo","ambatosoratra","imerimandroso","soalazaina","andilanatoby","antanandava","ambatondrazaka","feramanga nord","antsangasanga","ambohitsilaozana","tanambao besakay","amparihintsokatra","manakambahiny andrefana","ambatondrazaka suburbaine","manakambahiny antsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andilanatoby","MG33313","andilanatoby",0,"andilanatoby",0,"andilanatoby","ilafy","antanandava","andromba","ambandrika","ampitatsimo","antsangasanga","didy","imerimandroso","soalazaina","feramanga nord","ambatondrazaka","ambatosoratra","bejofo","tanambao besakay","ambohitsilaozana","amparihintsokatra","manakambahiny andrefana","ambatondrazaka suburbaine","manakambahiny antsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambatondrazaka","MG33313","ambatondrazaka",0,"ambatondrazaka",0,"ambatondrazaka","ambandrika","ambatosoratra","antanandava","ambohitsilaozana","andromba","antsangasanga","soalazaina","tanambao besakay","ambatondrazaka suburbaine","ampitatsimo","andilanatoby","imerimandroso","amparihintsokatra","feramanga nord","bejofo","ilafy","didy","manakambahiny andrefana","manakambahiny antsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
