"names_tomatch","nest","fixed_best","min_fixed","partial_best","min_partial","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"m/vo avarabohitra","MG12108","mahazoarivo avarabohitra",8,"mahazoarivo avarabohitra",2,"mahazoarivo avarabohitra","soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","manodidina ny gara ambilombe","antsirabe afovoany atsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t/vo soamalaza","MG12108","soamalaza mahatsinjo",16,"soamalaza mahatsinjo",5,"soamalaza mahatsinjo","antsenakely andraikiba","mahazoarivo avarabohitra","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a/tsy","MG12108","soamalaza mahatsinjo",17,"antsenakely andraikiba",2,"soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","mahazoarivo avarabohitra","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tsarafiraisana","MG12108","antsenakely andraikiba",14,"antsirabe afovoany atsinanana",7,"antsenakely andraikiba","soamalaza mahatsinjo","ampatana mandriankeniheny","mahazoarivo avarabohitra","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atsenakely a/kiba","MG12108","antsenakely andraikiba",6,"antsenakely andraikiba",5,"antsenakely andraikiba","soamalaza mahatsinjo","mahazoarivo avarabohitra","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atsimontsena","MG12108","soamalaza mahatsinjo",15,"antsenakely andraikiba",5,"soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","antsirabe afovoany atsinanana","mahazoarivo avarabohitra","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m/rivoi a/tra","MG12108","mahazoarivo avarabohitra",15,"mahazoarivo avarabohitra",5,"mahazoarivo avarabohitra","soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m/vo avarabophitra","MG12108","mahazoarivo avarabohitra",9,"mahazoarivo avarabohitra",3,"mahazoarivo avarabohitra","soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","manodidina ny gara ambilombe","antsirabe afovoany atsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v/rena","MG12108","antsenakely andraikiba",19,"antsenakely andraikiba",3,"antsenakely andraikiba","soamalaza mahatsinjo","mahazoarivo avarabohitra","ampatana mandriankeniheny","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ma/dina gare ambilobe","MG12108","manodidina ny gara ambilombe",9,"manodidina ny gara ambilombe",7,"manodidina ny gara ambilombe","antsenakely andraikiba","soamalaza mahatsinjo","ampatana mandriankeniheny","mahazoarivo avarabohitra","antsirabe afovoany atsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambalabe mg","MG12108","soamalaza mahatsinjo",14,"soamalaza mahatsinjo",4,"soamalaza mahatsinjo","antsenakely andraikiba","ampatana mandriankeniheny","mahazoarivo avarabohitra","manodidina ny gara ambilombe","antsirabe afovoany atsinanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antsenakely andrakibha","MG12108","antsenakely andraikiba",2,"antsenakely andraikiba",2,"antsenakely andraikiba","mahazoarivo avarabohitra","ampatana mandriankeniheny","soamalaza mahatsinjo","antsirabe afovoany atsinanana","manodidina ny gara ambilombe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
