"distcode","district","commcode","commune","long","lat","type","pop_dens","clinic_id"
"MG52518","Bekily","MG52518070","Antsakoamaro",45.1835,-24.2433,"CSB2",21.2862110137939,1662
"MG52518","Bekily","MG52518230","Bekitro",45.2971,-24.5508,"CSB2",289.168792724609,1663
"MG52518","Bekily","MG52518170","Belindo Mahasoa",45.4132,-24.4848,"CSB2",369.805816650391,1664
"MG52518","Bekily","MG52518190","Beteza",45.1266,-24.4489,"CSB2",115.671829223633,1665
"MG52518","Bekily","MG52518270","Bevitiky",45.3837,-24.6153,"CSB2",93.3593597412109,1666
"MG52518","Bekily","MG52518152","Maroviro",45.3533,-23.856,"CSB2",22.1557846069336,1667
"MG52518","Bekily","MG52518110","Tsikolaky",45.2235,-24.331,"CSB2",30.449254989624,1668
"MG52518","Bekily","MG52518130","Manakompy",45.3904,-24.3201,"CSB2",61.4618148803711,1669
"MG52513","Beloha","MG52513050","Kopoky",45.2683,-25.2939,"CSB2",63.2334671020508,1671
"MG52513","Beloha","MG52513070","Marolinta",44.5147,-25.2001,"CSB2",7.26634788513184,1672
"MG52513","Beloha","MG52513091","Tranoroa",45.0527,-24.7221,"CSB2",131.235534667969,1673
"MG52513","Beloha","MG52513030","Tranovaho",44.9876,-25.4394,"CSB2",248.388565063477,1674
"MG53515","Taolagnaro","MG53515252","Analamary",47.2203,-24.2455,"CSB2",28.016881942749,1675
"MG53515","Taolagnaro","MG53515114","Analapatsy",46.6958,-25.1675,"CSB2",710.260131835938,1676
"MG53515","Taolagnaro","MG53515115","Andranobory",46.5544,-25.1047,"CSB2",93.1822967529297,1677
"MG53515","Taolagnaro","MG53515090","Ankaramena",46.7661,-25.0368,"CSB2",361.059783935547,1678
