"district","distcode","commune","commcode","clinic_id","long","lat"
"Befotaka","MG25222","Beharena","MG25222052",312,46.83,-23.8631
"Befotaka","MG25222","Bekofafa Sud","MG25222053",313,46.5837,-23.7647
"Befotaka","MG25222","Marovitsika Sud","MG25222031",314,46.8943,-24.0385
"Andramasina","MG11115","Alarobia Vatosola","MG11115110",315,47.7501,-19.2284
"Andramasina","MG11115","Alarobia Vatosola","MG11115110",316,47.6885,-19.2406
"Andramasina","MG11115","Alatsinainy Bakaro","MG11115071",317,47.6811,-19.3225
"Andramasina","MG11115","Ambohimiadana","MG11115091",318,47.7756,-19.244
"Andramasina","MG11115","Andohariana","MG11115032",319,47.5757,-19.3139
"Andramasina","MG11115","Andramasina","MG11115010",320,47.5888,-19.1866
"Andramasina","MG11115","Ambohimiadana","MG11115091",321,47.7727,-19.2051
"Andramasina","MG11115","Antotohazo","MG11115072",322,47.6153,-19.3687
"Andramasina","MG11115","Fitsinjovana Bakaro","MG11115130",323,47.7318,-19.3906
"Andramasina","MG11115","Mandrosoa","MG11115050",324,47.6666,-19.1618
"Andramasina","MG11115","Sabotsy Ambohitromby","MG11115031",325,47.6118,-19.2379
"Andramasina","MG11115","Sabotsy Manjakavahoaka","MG11115150",326,47.7537,-19.1706
"Andramasina","MG11115","Ambohimiadana","MG11115091",327,47.8168,-19.259
"Anjozorobe","MG11107","Alakamisy","MG11107170",328,47.9331,-18.5371
"Anjozorobe","MG11107","Ambatomanoina","MG11107230",329,47.6255,-18.3121
"Anjozorobe","MG11107","Amboasary Nord","MG11107270",330,47.7674,-18.1182
"Anjozorobe","MG11107","Ambohibary Vohilena","MG11107310",331,47.6219,-18.2191
"Anjozorobe","MG11107","Ambongamarina","MG11107099",332,47.9548,-18.3261
"Anjozorobe","MG11107","Ambongamarina","MG11107099",333,47.8026,-18.2963
"Anjozorobe","MG11107","Betatao","MG11107150",334,47.8578,-18.1254
"Anjozorobe","MG11107","Analaroa","MG11107190",335,47.7087,-18.4126
"Anjozorobe","MG11107","Antanetibe","MG11107211",336,47.556,-18.382
"Anjozorobe","MG11107","Anjozorobe","MG11107019",337,47.8795,-18.4027
"Anjozorobe","MG11107","Anjozorobe","MG11107019",338,47.8656,-18.4744
"Anjozorobe","MG11107","Antanetibe","MG11107211",339,47.5574,-18.3963
"Anjozorobe","MG11107","Beronono","MG11107370",340,47.5172,-18.1861
"Anjozorobe","MG11107","Betatao","MG11107150",341,47.8875,-18.2025
"Anjozorobe","MG11107","Mangamila","MG11107070",342,47.8617,-18.5659
"Anjozorobe","MG11107","Marotsipoy","MG11107350",343,47.6621,-17.9281
"Anjozorobe","MG11107","Tsarasaotra","MG11107110",344,47.9141,-18.5578
"Ankazobe","MG11104","Ambolotarakely","MG11104170",345,47.4018,-18.2703
"Ankazobe","MG11104","Ankazobe","MG11104010",346,47.1158,-18.3163
"Ankazobe","MG11104","Antakavana","MG11104190",347,47.3838,-18.0349
"Ankazobe","MG11104","Antotohazo","MG11104071",348,47.0956,-18.5196
"Ankazobe","MG11104","Fiadanana","MG11104130",349,46.8852,-18.2231
"Fandriana","MG22204","Fiadanana","MG22204070",350,47.4076,-20.3343
"Ankazobe","MG11104","Kiangara","MG11104210",351,47.0296,-17.9709
"Ankazobe","MG11104","Mahavelona","MG11104110",352,47.2542,-18.514
"Ankazobe","MG11104","Marondry","MG11104072",353,47.0027,-18.4347
"Ankazobe","MG11104","Miantso","MG11104230",354,47.1522,-18.7189
"Ankazobe","MG11104","Talata Angavo","MG11104030",355,47.0991,-18.2092
"Ankazobe","MG11104","Tsaramasoandro","MG11104150",356,47.2172,-17.9613
"Ankazobe","MG11104","Ambohitromby","MG11104050",357,47.1631,-18.4928
"Manjakandriana","MG11106","Alarobia","MG11106090",358,47.7236,-18.9665
"Manjakandriana","MG11106","Alarobia","MG11106090",359,47.7269,-18.9568
"Manjakandriana","MG11106","Ambanitsena","MG11106210",360,47.689,-18.8746
"Manjakandriana","MG11106","Ambatolaona","MG11106012",361,47.8811,-18.9289
"Manjakandriana","MG11106","Ambatomanga","MG11106070",362,47.7377,-18.9654
"Manjakandriana","MG11106","Ambatomanga","MG11106070",363,47.7659,-19.0033
"Manjakandriana","MG11106","Ambatomena","MG11106251",364,47.7572,-18.7823
"Manjakandriana","MG11106","Ambohibao Sud","MG11106252",365,47.746,-18.7491
"Manjakandriana","MG11106","Ambohibary","MG11106050",366,47.8196,-18.8467
"Manjakandriana","MG11106","Ambohitrandriamanitra","MG11106230",367,47.7799,-19.0878
"Manjakandriana","MG11106","Ambohitrolomahitsy","MG11106371",368,47.6797,-18.7069
"Manjakandriana","MG11106","Ampaneva","MG11106372",369,47.6704,-18.7483
"Manjakandriana","MG11106","Ambohitrony","MG11106290",370,47.7689,-18.7485
"Manjakandriana","MG11106","Anjepy","MG11106190",371,47.7325,-18.8483
"Antananarivo Avaradrano","MG11102","Viliahazo","MG11102350",372,47.6933,-18.8109
"Manjakandriana","MG11106","Ankazondandy","MG11106351",373,47.7959,-18.6984
"Manjakandriana","MG11106","Ankazondandy","MG11106351",374,47.7465,-18.7032
"Manjakandriana","MG11106","Antsahalalina","MG11106272",375,47.7944,-18.7619
"Manjakandriana","MG11106","Nandihizana","MG11106170",376,47.7062,-18.907
"Manjakandriana","MG11106","Manjakandriana","MG11106011",377,47.812,-18.9184
"Manjakandriana","MG11106","Manjakandriana","MG11106011",378,47.8036,-18.9117
"Manjakandriana","MG11106","Merikanjaka","MG11106310",379,47.8329,-19.1383
"Manjakandriana","MG11106","Miadanandriana","MG11106150",380,47.7914,-19.0372
"Manjakandriana","MG11106","Ranovao","MG11106130",381,47.815,-18.8276
"Manjakandriana","MG11106","Sadabe","MG11106390",382,47.71,-18.6174
"Manjakandriana","MG11106","Sambaina","MG11106030",383,47.7828,-18.8927
"Manjakandriana","MG11106","Soavinandriana","MG11106352",384,47.8709,-18.697
"Manjakandriana","MG11106","Merikanjaka","MG11106310",385,47.8773,-19.1304
"Tsiroanomandidy","MG14111","Ambalanirana","MG14111250",386,46.5189,-18.7577
"Tsiroanomandidy","MG14111","Ambararatabe","MG14111210",387,46.192,-18.986
"Tsiroanomandidy","MG14111","Ambatolampy","MG14111051",388,46.1289,-18.8949
"Tsiroanomandidy","MG14111","Ambatolampy","MG14111051",389,46.21,-18.9381
