names_tomatch,match,notes,fixed_best,min_fixed,partial_best,min_partial,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114
nosivarika,nosy-varika,,nosy-varika,2,nosy-varika,2,nosy-varika,toliary-i,sakaraha,andramasina,antsirabe i,miarinarivo,vohibato,isandra,ambositra,ivohibe,iakora,befotaka,moramanga,andilamena,soalala,antsalova,toliary-ii,betroka,nosy-be,vohemar,antsirabe ii,arivonimamo,soavinandriana,lalangina,fandriana,manandriana,ifanadiana,vohipeno,vondrozo,toamasina i,toamasina ii,vavatenina,anosibe-an'ala,mandritsara,analalava,antsohihy,bealanana,besalampy,beroroha,benenitra,tsihombe,manja,morondava,antsiranana i,ambanja,antalaha,sambava,andapa,ambohidratrimo,ankazobe,anjozorobe,betafo,faratsiho,fenoarivobe,ambalavao,ambohimahasoa,mananjary,ikongo,ihosy,farafangana,vangaindrano,brickaville,vatomandry,mahanoro,marolambo,sainte marie,fenerive est,marovoay,mitsinjo,maevatanana,tsaratanana,kandreho,maintirano,morafenobe,morombe,ankazoabo,beloha,bekily,taolagnaro,mahabo,miandrivazo,antsiranana ii,ambilobe,manjakandriana,antanifotsy,mandoto,ikalamavony,maroantsetra,ambatondrazaka,mahajanga i,mampikony,ambatolampy,midongy-atsimo,amparafaravola,mahajanga ii,ambatomainty,betioky atsimo,tsiroanomandidy,fianarantsoa i,manakara atsimo,mananara-avaratra,ambato boeni,amboasary-atsimo,ambatofinandrahana,soanierana ivongo,befandriana nord,ampanihy ouest,ambovombe-androy,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,antanambao manampontsy,port-berge (boriziny-vaovao)
besalampy,besalampy,,besalampy,0,besalampy,0,besalampy,ambatolampy,bealanana,bekily,betafo,ambalavao,befotaka,marolambo,soalala,beloha,antalaha,ikalamavony,isandra,mananjary,moramanga,andilamena,analalava,antsalova,beroroha,sakaraha,benenitra,tsihombe,betroka,mahabo,sambava,andapa,ankazobe,faratsiho,mandoto,lalangina,vohibato,ihosy,iakora,vatomandry,mahanoro,marovoay,antsohihy,mampikony,maevatanana,morombe,ankazoabo,manja,ambilobe,nosy-be,ambanja,vohemar,andramasina,antsirabe i,antanifotsy,fenoarivobe,ambositra,fandriana,ifanadiana,nosy-varika,ikongo,vohipeno,ivohibe,farafangana,vondrozo,brickaville,vavatenina,mahajanga i,mitsinjo,tsaratanana,kandreho,ambatomainty,morafenobe,toliary-i,toliary-ii,taolagnaro,morondava,anjozorobe,antsirabe ii,arivonimamo,miarinarivo,ambohimahasoa,manandriana,toamasina i,toamasina ii,mahajanga ii,maintirano,antsiranana i,vangaindrano,sainte marie,maroantsetra,fenerive est,anosibe-an'ala,ambato boeni,mandritsara,betioky atsimo,miandrivazo,antsiranana ii,ambohidratrimo,manjakandriana,tsiroanomandidy,fianarantsoa i,amparafaravola,ambatondrazaka,befandriana nord,ambovombe-androy,amboasary-atsimo,soavinandriana,manakara atsimo,midongy-atsimo,ampanihy ouest,soanierana ivongo,ambatofinandrahana,mananara-avaratra,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
ambatomainty,ambatomainty,,ambatomainty,0,ambatomainty,0,ambatomainty,ambatolampy,vatomandry,ambato boeni,ambalavao,ambositra,ambatondrazaka,ambanja,andramasina,ambohimahasoa,ikalamavony,manandriana,mananjary,marolambo,vavatenina,moramanga,marovoay,mitsinjo,antsohihy,mampikony,maevatanana,maintirano,ankazoabo,ambilobe,sambava,ankazobe,betafo,antanifotsy,faratsiho,mandoto,miarinarivo,lalangina,fandriana,ifanadiana,iakora,befotaka,toamasina i,mahanoro,andilamena,analalava,bealanana,tsaratanana,besalampy,antsalova,morombe,beloha,ambovombe-androy,bekily,taolagnaro,betroka,manja,mahabo,antalaha,andapa,ambohidratrimo,anjozorobe,antsirabe i,arivonimamo,tsiroanomandidy,vohibato,isandra,ikongo,ihosy,ivohibe,farafangana,vangaindrano,brickaville,toamasina ii,sainte marie,maroantsetra,amparafaravola,mahajanga i,soalala,mahajanga ii,morafenobe,toliary-i,beroroha,sakaraha,benenitra,tsihombe,morondava,miandrivazo,vohemar,manjakandriana,antsirabe ii,soavinandriana,fenoarivobe,ambatofinandrahana,nosy-varika,manakara atsimo,vohipeno,vondrozo,mandritsara,kandreho,ampanihy ouest,toliary-ii,amboasary-atsimo,antsiranana i,nosy-be,fianarantsoa i,fenerive est,anosibe-an'ala,betioky atsimo,antsiranana ii,midongy-atsimo,antanambao manampontsy,mananara-avaratra,soanierana ivongo,befandriana nord,antananarivo renivohitra,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
sambava,sambava,,sambava,0,sambava,0,sambava,ambanja,ambalavao,soalala,sakaraha,andapa,isandra,iakora,analalava,manja,mahabo,betafo,mandoto,vohibato,ambositra,fandriana,befotaka,moramanga,marovoay,bealanana,antsalova,beloha,betroka,morondava,ambilobe,antalaha,ankazobe,ambatolampy,lalangina,ifanadiana,mananjary,ikongo,ihosy,ivohibe,mahanoro,marolambo,mampikony,tsaratanana,kandreho,besalampy,beroroha,morombe,ankazoabo,tsihombe,bekily,taolagnaro,nosy-be,vohemar,andramasina,faratsiho,miarinarivo,ikalamavony,manandriana,nosy-varika,vohipeno,farafangana,vondrozo,toamasina i,vatomandry,vavatenina,andilamena,mahajanga i,mitsinjo,mandritsara,maevatanana,ambatomainty,maintirano,toliary-i,benenitra,miandrivazo,antsirabe i,fenoarivobe,ambohimahasoa,vangaindrano,brickaville,toamasina ii,sainte marie,maroantsetra,ambato boeni,mahajanga ii,antsohihy,morafenobe,toliary-ii,anjozorobe,antanifotsy,antsirabe ii,arivonimamo,soavinandriana,amparafaravola,ambatondrazaka,anosibe-an'ala,antsiranana i,ambohidratrimo,manjakandriana,fianarantsoa i,fenerive est,antsiranana ii,tsiroanomandidy,manakara atsimo,ampanihy ouest,ambovombe-androy,amboasary-atsimo,midongy-atsimo,mananara-avaratra,soanierana ivongo,befandriana nord,betioky atsimo,ambatofinandrahana,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
andapa,andapa,,andapa,0,andapa,0,andapa,mandoto,isandra,fandriana,manja,ambanja,antalaha,sambava,ankazobe,betafo,ifanadiana,iakora,andilamena,soalala,analalava,kandreho,antsalova,ankazoabo,sakaraha,beloha,morondava,mahabo,andramasina,ambalavao,lalangina,manandriana,mananjary,ikongo,ihosy,vondrozo,befotaka,marovoay,mandritsara,bealanana,bekily,betroka,vohemar,vohibato,ambositra,vohipeno,ivohibe,farafangana,mahanoro,marolambo,moramanga,antsohihy,besalampy,maintirano,beroroha,morombe,benenitra,taolagnaro,miandrivazo,ambilobe,nosy-be,anjozorobe,antsirabe i,ambatolampy,antanifotsy,faratsiho,arivonimamo,vangaindrano,vatomandry,vavatenina,mahajanga i,mitsinjo,mampikony,maevatanana,tsaratanana,toliary-i,tsihombe,manjakandriana,antsirabe ii,miarinarivo,soavinandriana,fenoarivobe,ikalamavony,nosy-varika,toamasina i,sainte marie,maroantsetra,ambatondrazaka,mahajanga ii,ambatomainty,morafenobe,toliary-ii,antsiranana i,fianarantsoa i,ambohimahasoa,brickaville,toamasina ii,anosibe-an'ala,ambato boeni,antsiranana ii,ambohidratrimo,manakara atsimo,fenerive est,amparafaravola,befandriana nord,tsiroanomandidy,midongy-atsimo,ampanihy ouest,ambatofinandrahana,mananara-avaratra,soanierana ivongo,betioky atsimo,ambovombe-androy,amboasary-atsimo,antanambao manampontsy,antananarivo avaradrano,belo sur tsiribihina,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
beloha,beloha,,beloha,0,beloha,0,beloha,beroroha,betroka,betafo,iakora,befotaka,bekily,ihosy,soalala,bealanana,manja,ambilobe,antalaha,andapa,mandoto,ambalavao,isandra,ikongo,ivohibe,marovoay,besalampy,antsalova,morombe,sakaraha,benenitra,mahabo,ambanja,sambava,vohemar,ankazobe,lalangina,vohibato,ambositra,vondrozo,mahanoro,marolambo,analalava,antsohihy,kandreho,tsihombe,morondava,nosy-be,ambatolampy,faratsiho,fandriana,mananjary,vohipeno,vatomandry,vavatenina,moramanga,andilamena,mitsinjo,mampikony,morafenobe,toliary-i,ankazoabo,taolagnaro,anjozorobe,arivonimamo,fenoarivobe,ikalamavony,ifanadiana,brickaville,maevatanana,ambatomainty,maintirano,toliary-ii,andramasina,antsirabe i,antanifotsy,miarinarivo,ambohimahasoa,manandriana,nosy-varika,farafangana,toamasina i,maroantsetra,mahajanga i,ambato boeni,mandritsara,tsaratanana,betioky atsimo,miandrivazo,ambohidratrimo,antsirabe ii,vangaindrano,toamasina ii,sainte marie,fenerive est,ambatondrazaka,anosibe-an'ala,mahajanga ii,midongy-atsimo,amparafaravola,antsiranana i,manjakandriana,soavinandriana,tsiroanomandidy,fianarantsoa i,befandriana nord,ampanihy ouest,ambovombe-androy,antsiranana ii,ambatofinandrahana,manakara atsimo,amboasary-atsimo,belo sur tsiribihina,soanierana ivongo,mananara-avaratra,antananarivo renivohitra,antanambao manampontsy,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
nosy boraha,sainte marie,nosy boraha = MG name for sainte marie,nosy-varika,5,nosy-varika,5,nosy-varika,sakaraha,nosy-be,beroroha,sambava,vohibato,isandra,iakora,befotaka,soalala,antsohihy,antsalova,beloha,morondava,antalaha,anjozorobe,betafo,ambalavao,ambositra,fandriana,manandriana,ifanadiana,ihosy,farafangana,vondrozo,toamasina i,mahanoro,moramanga,anosibe-an'ala,marovoay,mandritsara,analalava,bealanana,maevatanana,tsaratanana,kandreho,maintirano,toliary-i,morombe,ankazoabo,benenitra,tsihombe,betroka,mahabo,ambanja,andapa,vohemar,ankazobe,manjakandriana,andramasina,antsirabe i,ambatolampy,antanifotsy,faratsiho,antsirabe ii,mandoto,arivonimamo,miarinarivo,soavinandriana,fenoarivobe,lalangina,mananjary,ikongo,vohipeno,ivohibe,vangaindrano,marolambo,toamasina ii,vavatenina,andilamena,mahajanga i,ambato boeni,mitsinjo,mampikony,besalampy,morafenobe,toliary-ii,bekily,taolagnaro,manja,miandrivazo,antsiranana i,ambilobe,ambohimahasoa,ikalamavony,brickaville,vatomandry,sainte marie,maroantsetra,amparafaravola,ambatondrazaka,mahajanga ii,ambatomainty,betioky atsimo,ampanihy ouest,antsiranana ii,ambohidratrimo,fianarantsoa i,midongy-atsimo,fenerive est,tsiroanomandidy,ambatofinandrahana,manakara atsimo,mananara-avaratra,ambovombe-androy,amboasary-atsimo,soanierana ivongo,befandriana nord,belo sur tsiribihina,antanambao manampontsy,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
anta_renivohitra,antananarivo renivohitra,,antanifotsy,8,antananarivo renivohitra,5,antanifotsy,antananarivo renivohitra,ambositra,mananara-avaratra,antsohihy,benenitra,antsiranana ii,antsiranana i,antalaha,manjakandriana,andramasina,antsirabe i,antsirabe ii,arivonimamo,fenoarivobe,manandriana,ivohibe,maroantsetra,vavatenina,mandritsara,analalava,antsalova,ankazobe,mandoto,miarinarivo,soavinandriana,fianarantsoa i,ambohimahasoa,lalangina,isandra,fandriana,ifanadiana,nosy-varika,mananjary,iakora,mahanoro,amparafaravola,ambatondrazaka,andilamena,anosibe-an'ala,marovoay,kandreho,ambatomainty,maintirano,morafenobe,beroroha,ankazoabo,sakaraha,beloha,betroka,ambanja,andapa,vohemar,anjozorobe,betafo,ambatolampy,faratsiho,ambalavao,ikalamavony,vohibato,manakara atsimo,vohipeno,farafangana,vangaindrano,befotaka,toamasina i,vatomandry,marolambo,toamasina ii,sainte marie,fenerive est,soanierana ivongo,moramanga,mahajanga i,ambato boeni,mitsinjo,mahajanga ii,bealanana,mampikony,maevatanana,tsaratanana,ampanihy ouest,toliary-ii,tsihombe,taolagnaro,manja,morondava,miandrivazo,ambilobe,sambava,antananarivo avaradrano,ambohidratrimo,tsiroanomandidy,ambatofinandrahana,ikongo,ihosy,vondrozo,brickaville,soalala,befandriana nord,toliary-i,morombe,betioky atsimo,bekily,amboasary-atsimo,mahabo,nosy-be,antananarivo atsimondrano,midongy-atsimo,besalampy,ambovombe-androy,antanambao manampontsy,belo sur tsiribihina,port-berge (boriziny-vaovao)
ikalamavony,ikalamavony,,ikalamavony,0,ikalamavony,0,ikalamavony,analalava,bealanana,andramasina,ambalavao,lalangina,ifanadiana,vatomandry,soalala,marovoay,mampikony,tsaratanana,besalampy,ankazobe,fenoarivobe,isandra,mananjary,ikongo,ihosy,iakora,farafangana,mahanoro,marolambo,vavatenina,moramanga,andilamena,maevatanana,kandreho,ambatomainty,antsalova,ankazoabo,sakaraha,taolagnaro,mahabo,antalaha,sambava,betafo,ambatolampy,antanifotsy,faratsiho,mandoto,arivonimamo,miarinarivo,vohibato,fandriana,manandriana,toamasina i,amparafaravola,mahajanga i,antsohihy,maintirano,morafenobe,toliary-i,beloha,bekily,manja,morondava,miandrivazo,ambilobe,ambanja,andapa,vohemar,anjozorobe,antsirabe i,tsiroanomandidy,fianarantsoa i,ambositra,nosy-varika,vohipeno,ivohibe,vangaindrano,vondrozo,befotaka,brickaville,toamasina ii,sainte marie,ambato boeni,mitsinjo,mahajanga ii,beroroha,morombe,toliary-ii,tsihombe,betroka,manjakandriana,antsirabe ii,soavinandriana,ambohimahasoa,manakara atsimo,maroantsetra,soanierana ivongo,mandritsara,benenitra,antsiranana ii,antsiranana i,nosy-be,midongy-atsimo,fenerive est,ambatondrazaka,befandriana nord,betioky atsimo,ampanihy ouest,ambohidratrimo,mananara-avaratra,anosibe-an'ala,ambovombe-androy,amboasary-atsimo,ambatofinandrahana,antanambao manampontsy,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
tamatave,toamasina i,tamatave = toamasina,sambava,4,antananarivo renivohitra,4,sambava,ambalavao,analalava,sakaraha,mahabo,ankazobe,betafo,faratsiho,mananjary,iakora,befotaka,toamasina i,mahanoro,soalala,bealanana,tsaratanana,tsihombe,taolagnaro,manja,ambilobe,ambanja,antalaha,andapa,ambatolampy,mandoto,ikalamavony,lalangina,vohibato,isandra,fandriana,ifanadiana,ivohibe,vatomandry,marolambo,toamasina ii,vavatenina,moramanga,marovoay,mampikony,maevatanana,kandreho,besalampy,antsalova,maintirano,toliary-i,morombe,ankazoabo,beloha,morondava,nosy-be,vohemar,andramasina,miarinarivo,fenoarivobe,ambositra,manandriana,ikongo,vohipeno,ihosy,farafangana,vondrozo,brickaville,sainte marie,andilamena,mahajanga i,ambato boeni,mitsinjo,mandritsara,ambatomainty,morafenobe,beroroha,toliary-ii,bekily,betroka,anjozorobe,antsirabe i,antanifotsy,vangaindrano,maroantsetra,mahajanga ii,antsohihy,benenitra,miandrivazo,antsiranana i,antsirabe ii,arivonimamo,fianarantsoa i,ambohimahasoa,nosy-varika,fenerive est,amparafaravola,ambatondrazaka,antsiranana ii,ambohidratrimo,manjakandriana,soavinandriana,tsiroanomandidy,betioky atsimo,ampanihy ouest,manakara atsimo,midongy-atsimo,anosibe-an'ala,mananara-avaratra,soanierana ivongo,befandriana nord,amboasary-atsimo,ambatofinandrahana,ambovombe-androy,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
antalaha,antalaha,,antalaha,0,antalaha,0,antalaha,analalava,antsalova,ambalavao,soalala,sakaraha,andapa,ankazobe,fandriana,andilamena,antsohihy,ankazoabo,beloha,ambanja,andramasina,betafo,faratsiho,isandra,ifanadiana,mananjary,iakora,befotaka,moramanga,bealanana,maevatanana,tsaratanana,kandreho,besalampy,maintirano,beroroha,betroka,manja,mahabo,ambilobe,sambava,antsirabe i,ambatolampy,antanifotsy,mandoto,lalangina,vohibato,ambositra,manandriana,farafangana,mahanoro,marolambo,vavatenina,marovoay,mitsinjo,mandritsara,benenitra,bekily,taolagnaro,morondava,antsiranana i,nosy-be,vohemar,anjozorobe,antsirabe ii,ikalamavony,ikongo,vohipeno,ihosy,ivohibe,vangaindrano,vondrozo,vatomandry,sainte marie,maroantsetra,mahajanga i,mampikony,toliary-i,morombe,tsihombe,miandrivazo,antsiranana ii,manjakandriana,arivonimamo,miarinarivo,fenoarivobe,ambohimahasoa,nosy-varika,toamasina i,ambatondrazaka,anosibe-an'ala,mahajanga ii,ambatomainty,morafenobe,toliary-ii,soavinandriana,fianarantsoa i,manakara atsimo,brickaville,toamasina ii,amparafaravola,ambato boeni,fenerive est,ampanihy ouest,ambohidratrimo,tsiroanomandidy,ambatofinandrahana,midongy-atsimo,mananara-avaratra,befandriana nord,betioky atsimo,amboasary-atsimo,soanierana ivongo,ambovombe-androy,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
ambovombe androy,ambovombe-androy,,ambovombe-androy,1,ambovombe-androy,1,ambovombe-androy,ambohimahasoa,vatomandry,ambatomainty,ambatolampy,anosibe-an'ala,ambato boeni,marovoay,morombe,ambilobe,ambohidratrimo,arivonimamo,tsiroanomandidy,ambalavao,ambatofinandrahana,ambositra,vondrozo,mahanoro,marolambo,ambatondrazaka,moramanga,amboasary-atsimo,morondava,ambanja,vohemar,ankazobe,anjozorobe,antsirabe i,betafo,antsirabe ii,mandoto,vohibato,isandra,mananjary,vohipeno,maroantsetra,andilamena,mampikony,maevatanana,besalampy,maintirano,morafenobe,ankazoabo,tsihombe,taolagnaro,sambava,manjakandriana,andramasina,antanifotsy,miarinarivo,soavinandriana,ikalamavony,manandriana,manakara atsimo,ikongo,ivohibe,vangaindrano,midongy-atsimo,befotaka,toamasina i,toamasina ii,sainte marie,vavatenina,amparafaravola,mahajanga i,mitsinjo,mandritsara,antsohihy,bealanana,kandreho,beroroha,betioky atsimo,ampanihy ouest,benenitra,beloha,bekily,betroka,manja,mahabo,miandrivazo,antsiranana ii,antsiranana i,nosy-be,andapa,fenoarivobe,lalangina,fandriana,ifanadiana,nosy-varika,ihosy,iakora,farafangana,brickaville,antanambao manampontsy,fenerive est,soalala,mahajanga ii,analalava,befandriana nord,tsaratanana,antsalova,toliary-i,toliary-ii,antalaha,faratsiho,fianarantsoa i,mananara-avaratra,soanierana ivongo,sakaraha,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,antananarivo renivohitra,port-berge (boriziny-vaovao)
atsimondrano,antananarivo atsimondrano,from commune/fkt vars,arivonimamo,6,antananarivo atsimondrano,0,arivonimamo,vangaindrano,isandra,vondrozo,vatomandry,maintirano,antsiranana i,manjakandriana,mandoto,soavinandriana,fandriana,manandriana,ifanadiana,ikongo,ambatondrazaka,mitsinjo,tsaratanana,kandreho,antsalova,ankazoabo,tsihombe,taolagnaro,morondava,miandrivazo,antsiranana ii,andapa,anjozorobe,antsirabe i,antsirabe ii,miarinarivo,tsiroanomandidy,ambalavao,vohibato,ambositra,vohipeno,iakora,farafangana,toamasina i,mahanoro,moramanga,andilamena,soalala,ambato boeni,antsohihy,bealanana,mampikony,maevatanana,sakaraha,manja,mahabo,ambilobe,ambanja,sambava,ambohidratrimo,ankazobe,andramasina,betafo,ambatolampy,antanifotsy,faratsiho,ambohimahasoa,lalangina,ambatofinandrahana,nosy-varika,mananjary,ihosy,ivohibe,befotaka,marolambo,toamasina ii,vavatenina,amparafaravola,anosibe-an'ala,mahajanga i,marovoay,mandritsara,analalava,ambatomainty,morafenobe,toliary-i,beroroha,morombe,benenitra,beloha,betroka,antalaha,vohemar,fenoarivobe,fianarantsoa i,ikalamavony,midongy-atsimo,brickaville,sainte marie,maroantsetra,mahajanga ii,besalampy,betioky atsimo,toliary-ii,ambovombe-androy,bekily,nosy-be,fenerive est,befandriana nord,ampanihy ouest,antananarivo atsimondrano,manakara atsimo,soanierana ivongo,amboasary-atsimo,antananarivo avaradrano,mananara-avaratra,antanambao manampontsy,belo sur tsiribihina,antananarivo renivohitra,port-berge (boriziny-vaovao)
ambohimandamina,NA,unknown,ambohimahasoa,5,ambohimahasoa,5,ambohimahasoa,ambatofinandrahana,ambohidratrimo,manjakandriana,andramasina,soavinandriana,ambositra,manandriana,ifanadiana,ambatondrazaka,moramanga,andilamena,mahajanga i,mahajanga ii,bealanana,maevatanana,ambatomainty,morondava,ambanja,ambatolampy,arivonimamo,miarinarivo,ambalavao,lalangina,isandra,fandriana,farafangana,vatomandry,maroantsetra,amparafaravola,anosibe-an'ala,tsaratanana,ambovombe-androy,amboasary-atsimo,miandrivazo,antsiranana ii,antsiranana i,andapa,antsirabe i,antsirabe ii,mandoto,tsiroanomandidy,vohibato,nosy-varika,mananjary,vohipeno,vangaindrano,toamasina i,mahanoro,marolambo,toamasina ii,vavatenina,soalala,ambato boeni,mandritsara,analalava,besalampy,maintirano,toliary-i,toliary-ii,manja,ambilobe,antalaha,sambava,vohemar,ankazobe,antanifotsy,ikalamavony,manakara atsimo,ivohibe,iakora,vondrozo,befotaka,brickaville,sainte marie,marovoay,mitsinjo,antsohihy,mampikony,kandreho,antsalova,morafenobe,morombe,ankazoabo,betioky atsimo,ampanihy ouest,sakaraha,benenitra,beloha,taolagnaro,mahabo,anjozorobe,betafo,faratsiho,fenoarivobe,fianarantsoa i,ikongo,midongy-atsimo,mananara-avaratra,soanierana ivongo,beroroha,tsihombe,bekily,betroka,ihosy,antanambao manampontsy,fenerive est,befandriana nord,nosy-be,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
vavatenina,vavatenina,,vavatenina,0,vavatenina,0,vavatenina,maevatanana,lalangina,tsaratanana,faratsiho,manandriana,farafangana,bealanana,andramasina,isandra,fandriana,ifanadiana,vohipeno,vatomandry,mahanoro,moramanga,analalava,maintirano,morafenobe,sakaraha,benenitra,manja,ambanja,antalaha,manjakandriana,arivonimamo,soavinandriana,ikalamavony,ambositra,mananjary,ivohibe,iakora,vangaindrano,befotaka,toamasina i,maroantsetra,andilamena,mahajanga i,soalala,mitsinjo,antsohihy,mampikony,kandreho,ambatomainty,antsalova,beloha,bekily,taolagnaro,betroka,mahabo,sambava,andapa,vohemar,ankazobe,betafo,ambatolampy,antanifotsy,mandoto,miarinarivo,ambalavao,vohibato,nosy-varika,ikongo,vondrozo,marolambo,toamasina ii,sainte marie,ambato boeni,marovoay,mahajanga ii,mandritsara,besalampy,toliary-i,beroroha,ankazoabo,toliary-ii,morondava,miandrivazo,ambilobe,anjozorobe,antsirabe i,antsirabe ii,fenoarivobe,fianarantsoa i,ihosy,brickaville,ambatondrazaka,morombe,tsihombe,antsiranana i,nosy-be,fenerive est,amparafaravola,anosibe-an'ala,antsiranana ii,ambohidratrimo,tsiroanomandidy,ambohimahasoa,manakara atsimo,midongy-atsimo,befandriana nord,betioky atsimo,ambatofinandrahana,soanierana ivongo,ampanihy ouest,ambovombe-androy,amboasary-atsimo,mananara-avaratra,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
ivato,antananarivo avaradrano,from google maps,betafo,4,vohibato,1,betafo,vohibato,ikongo,ihosy,iakora,mahabo,mandoto,isandra,ivohibe,manja,andapa,ankazobe,faratsiho,vohipeno,mahanoro,soalala,mitsinjo,beloha,bekily,betroka,ambanja,sambava,arivonimamo,ambalavao,vondrozo,befotaka,vatomandry,marolambo,vavatenina,marovoay,kandreho,antsalova,maintirano,beroroha,morombe,ankazoabo,sakaraha,tsihombe,miandrivazo,ambilobe,nosy-be,antalaha,vohemar,ambatolampy,miarinarivo,ikalamavony,lalangina,ambositra,fandriana,ifanadiana,mananjary,moramanga,andilamena,analalava,antsohihy,bealanana,mampikony,maevatanana,besalampy,morafenobe,toliary-i,benenitra,taolagnaro,morondava,anjozorobe,antsirabe i,antanifotsy,fenoarivobe,nosy-varika,vangaindrano,toamasina i,brickaville,ambato boeni,mandritsara,tsaratanana,ambatomainty,toliary-ii,ambohidratrimo,andramasina,antsirabe ii,fianarantsoa i,ambohimahasoa,manandriana,farafangana,midongy-atsimo,toamasina ii,sainte marie,maroantsetra,fenerive est,mahajanga i,betioky atsimo,ambatondrazaka,mahajanga ii,antsiranana i,soavinandriana,tsiroanomandidy,manakara atsimo,amparafaravola,anosibe-an'ala,ampanihy ouest,antsiranana ii,manjakandriana,befandriana nord,ambovombe-androy,amboasary-atsimo,mananara-avaratra,soanierana ivongo,ambatofinandrahana,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,antanambao manampontsy,antananarivo renivohitra,port-berge (boriziny-vaovao)
ambohimahasoa,ambohimahasoa,,ambohimahasoa,0,ambohimahasoa,0,ambohimahasoa,ambohidratrimo,ambalavao,ambositra,arivonimamo,vohibato,amparafaravola,ambatondrazaka,moramanga,ambatomainty,mahabo,ambanja,andramasina,ambatolampy,miarinarivo,vohipeno,mahanoro,marolambo,andilamena,soalala,mandritsara,analalava,antsohihy,bealanana,maevatanana,maintirano,ambovombe-androy,morondava,ambilobe,antalaha,sambava,vohemar,antsirabe i,betafo,antanifotsy,faratsiho,antsirabe ii,isandra,ambatofinandrahana,fandriana,manandriana,ihosy,ivohibe,iakora,vangaindrano,befotaka,vatomandry,maroantsetra,anosibe-an'ala,mahajanga i,ambato boeni,marovoay,mitsinjo,mahajanga ii,tsaratanana,besalampy,antsalova,morafenobe,toliary-i,beroroha,morombe,ankazoabo,sakaraha,toliary-ii,beloha,taolagnaro,amboasary-atsimo,manja,miandrivazo,antsiranana i,andapa,ankazobe,anjozorobe,mandoto,fenoarivobe,fianarantsoa i,ikalamavony,lalangina,ifanadiana,nosy-varika,mananjary,manakara atsimo,ikongo,farafangana,vondrozo,toamasina i,brickaville,toamasina ii,sainte marie,fenerive est,mampikony,kandreho,ampanihy ouest,benenitra,tsihombe,bekily,betroka,antsiranana ii,manjakandriana,soavinandriana,tsiroanomandidy,midongy-atsimo,vavatenina,betioky atsimo,nosy-be,mananara-avaratra,befandriana nord,soanierana ivongo,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,port-berge (boriziny-vaovao)
